"","regione","media_rank","media_radice","indice","radice"
"1","ABRUZZO",6.44444444444444,7.83585976458861,4,7.84
"2","BASILICATA",9.5,10.363659245179,10,10.36
"3","CALABRIA",6.27777777777778,8.3030303934278,6,8.3
"4","CAMPANIA",9.38888888888889,11.2336565269919,12,11.23
"5","EMILIA-ROMAGNA",16.2777777777778,17.63825463936,18,17.64
"6","FRIULI-VENEZIA GIULIA",9.72222222222222,10.7021961607697,11,10.7
"7","LAZIO",6.27777777777778,7.631207331323,3,7.63
"8","LIGURIA",5.5,7.21668659185008,2,7.22
"9","LOMBARDIA",8.83333333333333,10.0499578749991,9,10.05
"10","MARCHE",6.44444444444444,8.1287083457278,5,8.13
"11","MOLISE",14.1666666666667,16.9314591281639,17,16.93
"12","PIEMONTE",3.94444444444444,6.82360117976548,1,6.82
"13","PUGLIA",8.16666666666667,9.18136778598881,8,9.18
"14","SARDEGNA",6.44444444444444,8.37116252514421,7,8.37
"15","SICILIA",11.3888888888889,11.9912367971801,13,11.99
"16","TOSCANA",15,16.0262881469689,16,16.03
"17","TRENTINO-ALTO ADIGE",19,33.760634961364,19,33.76
"18","UMBRIA",12.8888888888889,13.307182008912,14,13.31
"19","VALLE D'AOSTA",19.9333333333333,50.4734673996087,20,50.47
"20","VENETO",14.3888888888889,15.5329429882495,15,15.53
