"","regione","anno","diff_somma","radice","indice"
"1","ABRUZZO",1979,104.224374276279,10.21,12
"2","ABRUZZO",1984,89.7095936029567,9.47,10
"3","ABRUZZO",1989,76.2800119867881,8.73,10
"4","ABRUZZO",1994,93.3998852307991,9.66,6
"5","ABRUZZO",1999,35.3614076160391,5.95,1
"6","ABRUZZO",2004,54.1674151857601,7.36,5
"7","ABRUZZO",2009,216.741876680576,14.72,13
"8","ABRUZZO",2014,172.774146238229,13.14,17
"9","ABRUZZO",2019,64.2914944067662,8.02,6
"10","BASILICATA",1979,153.748731244491,12.4,13
"11","BASILICATA",1984,96.8910505495695,9.84,11
"12","BASILICATA",1989,125.226132257203,11.19,12
"13","BASILICATA",1994,249.991564222458,15.81,15
"14","BASILICATA",1999,151.014212845635,12.29,13
"15","BASILICATA",2004,81.7052473769939,9.04,8
"16","BASILICATA",2009,134.628927056353,11.6,7
"17","BASILICATA",2014,54.3050300489849,7.37,5
"18","BASILICATA",2019,313.601963084955,17.71,14
"19","CALABRIA",1979,57.2056736966463,7.56,6
"20","CALABRIA",1984,37.0224098317529,6.08,3
"21","CALABRIA",1989,22.618459851631,4.76,2
"22","CALABRIA",1994,82.6187936207938,9.09,3
"23","CALABRIA",1999,98.2386248119928,9.91,9
"24","CALABRIA",2004,173.106695968736,13.16,17
"25","CALABRIA",2009,120.347060310247,10.97,5
"26","CALABRIA",2014,112.706130997334,10.62,12
"27","CALABRIA",2019,286.891089299783,16.94,13
"28","CAMPANIA",1979,71.0833714792239,8.43,7
"29","CAMPANIA",1984,58.5909403003971,7.65,7
"30","CAMPANIA",1989,68.0697244052305,8.25,8
"31","CAMPANIA",1994,86.7477904236668,9.31,4
"32","CAMPANIA",1999,87.4690072719983,9.35,8
"33","CAMPANIA",2004,45.9428885143245,6.78,3
"34","CAMPANIA",2009,181.026415361949,13.45,9
"35","CAMPANIA",2014,108.181430679937,10.4,11
"36","CAMPANIA",2019,548.099949081074,23.41,19
"37","EMILIA ROMAGNA",1979,430.092947016582,20.74,18
"38","EMILIA ROMAGNA",1984,371.219277327987,19.27,17
"39","EMILIA ROMAGNA",1989,405.984763155344,20.15,18
"40","EMILIA ROMAGNA",1994,379.415074215432,19.48,18
"41","EMILIA ROMAGNA",1999,275.487567224271,16.6,16
"42","EMILIA ROMAGNA",2004,167.442551493864,12.94,16
"43","EMILIA ROMAGNA",2009,233.355156229835,15.28,15
"44","EMILIA ROMAGNA",2014,171.774925564504,13.11,16
"45","EMILIA ROMAGNA",2019,103.78974783813,10.19,7
"46","FRIULI-VENEZIA GIULIA",1979,80.3865169618577,8.97,9
"47","FRIULI-VENEZIA GIULIA",1984,96.9213361212041,9.84,12
"48","FRIULI-VENEZIA GIULIA",1989,89.1469607614032,9.44,11
"49","FRIULI-VENEZIA GIULIA",1994,90.5819098581916,9.52,5
"50","FRIULI-VENEZIA GIULIA",1999,84.4614595008267,9.19,7
"51","FRIULI-VENEZIA GIULIA",2004,29.3412519097553,5.42,2
"52","FRIULI-VENEZIA GIULIA",2009,69.2205610947491,8.32,4
"53","FRIULI-VENEZIA GIULIA",2014,24.4596944373542,4.95,2
"54","FRIULI-VENEZIA GIULIA",2019,129.735668864349,11.39,9
"55","LAZIO",1979,19.7641328148221,4.45,2
"56","LAZIO",1984,15.829601874534,3.98,1
"57","LAZIO",1989,12.6543918823087,3.56,1
"58","LAZIO",1994,191.902820784695,13.85,11
"59","LAZIO",1999,145.963089794871,12.08,12
"60","LAZIO",2004,86.4289072953624,9.3,10
"61","LAZIO",2009,147.576746660163,12.15,8
"62","LAZIO",2014,44.4890653352199,6.67,4
"63","LAZIO",2019,15.6274033219672,3.95,2
"64","LIGURIA",1979,87.8717942820908,9.37,10
"65","LIGURIA",1984,74.3181863392471,8.62,9
"66","LIGURIA",1989,76.2074203073583,8.73,9
"67","LIGURIA",1994,55.4801317399783,7.45,1
"68","LIGURIA",1999,42.9029126745699,6.55,2
"69","LIGURIA",2004,79.054041675045,8.89,7
"70","LIGURIA",2009,21.2040758910748,4.6,1
"71","LIGURIA",2014,34.9682079546525,5.91,3
"72","LIGURIA",2019,7.58112771452501,2.75,1
"73","LOMBARDIA",1979,17.3545758011314,4.17,1
"74","LOMBARDIA",1984,31.2514769543817,5.59,2
"75","LOMBARDIA",1989,65.9747945624704,8.12,7
"76","LOMBARDIA",1994,229.654323111006,15.15,13
"77","LOMBARDIA",1999,160.223281784246,12.66,14
"78","LOMBARDIA",2004,153.656299563382,12.4,14
"79","LOMBARDIA",2009,189.584946892332,13.77,11
"80","LOMBARDIA",2014,102.733924263509,10.14,10
"81","LOMBARDIA",2019,142.924350469792,11.96,10
"82","MARCHE",1979,54.8423131357038,7.41,4
"83","MARCHE",1984,55.8854275693188,7.48,6
"84","MARCHE",1989,62.63651237932,7.91,6
"85","MARCHE",1994,138.97894850563,11.79,8
"86","MARCHE",1999,84.4137620048674,9.19,6
"87","MARCHE",2004,48.2634900991719,6.95,4
"88","MARCHE",2009,42.248958256295,6.5,2
"89","MARCHE",2014,58.7685057883555,7.67,6
"90","MARCHE",2019,26.5777824266603,5.16,4
"91","MOLISE",1979,374.745711622046,19.36,17
"92","MOLISE",1984,387.993830043604,19.7,18
"93","MOLISE",1989,280.821923816706,16.76,15
"94","MOLISE",1994,117.548779889125,10.84,7
"95","MOLISE",1999,378.758015786554,19.46,18
"96","MOLISE",2004,213.084325282722,14.6,18
"97","MOLISE",2009,728.204195937985,26.99,18
"98","MOLISE",2014,204.267912035235,14.29,18
"99","MOLISE",2019,356.915082667231,18.89,17
"100","PIEMONTE",1979,56.8850998909292,7.54,5
"101","PIEMONTE",1984,47.0513989661259,6.86,4
"102","PIEMONTE",1989,27.9008194813956,5.28,3
"103","PIEMONTE",1994,79.3746362805493,8.91,2
"104","PIEMONTE",1999,77.6997153362851,8.81,5
"105","PIEMONTE",2004,27.6615826706655,5.26,1
"106","PIEMONTE",2009,44.2148247510407,6.65,3
"107","PIEMONTE",2014,5.57594240485096,2.36,1
"108","PIEMONTE",2019,24.5525016533664,4.96,3
"109","PUGLIA",1979,71.4908401527185,8.46,8
"110","PUGLIA",1984,48.3907090777633,6.96,5
"111","PUGLIA",1989,33.4234629449442,5.78,4
"112","PUGLIA",1994,144.468107502351,12.02,9
"113","PUGLIA",1999,75.0495940753619,8.66,4
"114","PUGLIA",2004,57.2180701707856,7.56,6
"115","PUGLIA",2009,204.376414673238,14.3,12
"116","PUGLIA",2014,147.90771631984,12.16,14
"117","PUGLIA",2019,218.519711367397,14.78,12
"118","SARDEGNA",1979,35.2538181001291,5.94,3
"119","SARDEGNA",1984,177.909307971483,13.34,13
"120","SARDEGNA",1989,134.540957771095,11.6,13
"121","SARDEGNA",1994,192.699478059985,13.88,12
"122","SARDEGNA",1999,71.7357788042674,8.47,3
"123","SARDEGNA",2004,137.73436882134,11.74,13
"124","SARDEGNA",2009,186.191992147624,13.65,10
"125","SARDEGNA",2014,118.199764155456,10.87,13
"126","SARDEGNA",2019,125.301703941821,11.19,8
"127","SICILIA",1979,92.84771825942,9.64,11
"128","SICILIA",1984,59.3824405782921,7.71,8
"129","SICILIA",1989,55.6571253290354,7.46,5
"130","SICILIA",1994,241.229574848594,15.53,14
"131","SICILIA",1999,145.704274485399,12.07,11
"132","SICILIA",2004,115.017678515725,10.72,11
"133","SICILIA",2009,331.289251369542,18.2,16
"134","SICILIA",2014,149.167673875281,12.21,15
"135","SICILIA",2019,491.21199256073,22.16,18
"136","TOSCANA",1979,303.269527374824,17.41,16
"137","TOSCANA",1984,327.851445268464,18.11,16
"138","TOSCANA",1989,352.162718136771,18.77,17
"139","TOSCANA",1994,342.098494058941,18.5,17
"140","TOSCANA",1999,283.701750951181,16.84,17
"141","TOSCANA",2004,160.238312206941,12.66,15
"142","TOSCANA",2009,219.032472757675,14.8,14
"143","TOSCANA",2014,305.788681678199,17.49,19
"144","TOSCANA",2019,152.806472363683,12.36,11
"145","TRENTINO-ALTO ADIGE",1979,1546.76761411306,39.33,19
"146","TRENTINO-ALTO ADIGE",1984,1655.99107313439,40.69,20
"147","TRENTINO-ALTO ADIGE",1989,1324.62815560681,36.4,19
"148","TRENTINO-ALTO ADIGE",1994,1525.74890524336,39.06,20
"149","TRENTINO-ALTO ADIGE",1999,1156.65418880728,34.01,19
"150","TRENTINO-ALTO ADIGE",2004,794.923071010363,28.19,19
"151","TRENTINO-ALTO ADIGE",2009,1156.63245602891,34.01,19
"152","TRENTINO-ALTO ADIGE",2014,1102.16421066347,33.2,20
"153","TRENTINO-ALTO ADIGE",2019,932.12976796465,30.53,20
"154","UMBRIA",1979,284.435655509215,16.87,15
"155","UMBRIA",1984,280.573173785636,16.75,15
"156","UMBRIA",1989,318.393151293529,17.84,16
"157","UMBRIA",1994,281.702634106779,16.78,16
"158","UMBRIA",1999,243.393629627393,15.6,15
"159","UMBRIA",2004,81.8184558747639,9.05,9
"160","UMBRIA",2009,122.237339633053,11.06,6
"161","UMBRIA",2014,96.6547640314871,9.83,7
"162","UMBRIA",2019,29.1666902987095,5.4,5
"163","VALLE D'AOSTA",1979,1815.21154749983,42.61,20
"164","VALLE D'AOSTA",1984,806.02815446652,28.39,19
"165","VALLE D'AOSTA",1989,1597.73557314637,39.97,20
"166","VALLE D'AOSTA",1994,1226.29783434836,35.02,19
"167","VALLE D'AOSTA",1999,2350.34893806355,48.48,20
"168","VALLE D'AOSTA",2004,1790.70162406138,42.32,20
"169","VALLE D'AOSTA",2009,2395.12377240229,48.94,20
"170","VALLE D'AOSTA",2014,101.17690584093,10.06,8
"171","VALLE D'AOSTA",2019,323.549954353479,17.99,15
"172","VENETO",1979,253.325986616305,15.92,14
"173","VENETO",1984,262.203383707568,16.19,14
"174","VENETO",1989,206.630277242698,14.37,14
"175","VENETO",1994,181.242747853117,13.46,10
"176","VENETO",1999,115.069114747651,10.73,10
"177","VENETO",2004,131.204604688095,11.45,12
"178","VENETO",2009,407.458033934545,20.19,17
"179","VENETO",2014,101.350027009124,10.07,9
"180","VENETO",2019,331.268032752433,18.2,16
