"","regione","media_rank","media_radice","indice"
"1","ABRUZZO",8.88888888888889,9.69665137738031,6
"2","BASILICATA",10.8888888888889,11.917032856257,12
"3","CALABRIA",7.77777777777778,9.89849100929809,7
"4","CAMPANIA",8.44444444444444,10.7830700249543,10
"5","EMILIA ROMAGNA",15.6666666666667,16.4156822675382,17
"6","FRIULI-VENEZIA GIULIA",6.77777777777778,8.55918940499599,5
"7","LAZIO",5.66666666666667,7.77600495851306,3
"8","LIGURIA",4.77777777777778,6.98731232510276,2
"9","LOMBARDIA",9.11111111111111,10.4385143798342,9
"10","MARCHE",5.11111111111111,7.78230080667549,4
"11","MOLISE",16.2222222222222,17.8760494410862,18
"12","PIEMONTE",3,6.29255299503567,1
"13","PUGLIA",8.22222222222222,10.0755457333883,8
"14","SARDEGNA",9.77777777777778,11.1859223534072,11
"15","SICILIA",12.1111111111111,12.8563555063012,13
"16","TOSCANA",15.7777777777778,16.3259150033447,16
"17","TRENTINO-ALTO ADIGE",19.4444444444444,35.0468968690576,20
"18","UMBRIA",11.5555555555556,13.2419534068292,14
"19","VALLE D'AOSTA",17.8888888888889,34.8632671196506,19
"20","VENETO",12.8888888888889,14.5090351041461,15
